scenario_id,family,generator_provider,pJ,pD,pJ_null,pD_null
F1-B-11T,F1,openai,0.5478558546923236,0.8166480788629127,0.5015360245056105,0.7584942968029151
F1-A-40,F1,anthropic,0.14431504929378774,0.40048171286527995,0.08939741072338493,0.11886560968326006
F1-A-40T,F1,anthropic,0.22975166838669675,0.3214491736226819,0.16209094610083594,0.23122638828697714
F1-A-42,F1,anthropic,0.17426357444823842,0.29104778100759876,0.07797990296955445,0.1939654480526642
F1-A-46,F1,anthropic,0.00955582021572198,0.2602438595060348,0.0020293623124540334,0.09466199120929975
F1-A-48,F1,anthropic,0.053512698175110396,0.13518050611771026,0.004465997787577943,0.07555810546076407
F1-A-48T,F1,anthropic,0.3648440163389741,0.7355994946369273,0.21793797042048102,0.5807265781985383
F1-A-52T,F1,anthropic,0.23866202819073457,0.5430647644864556,0.2175026863982504,0.4272189360542533
F1-B-41,F1,openai,0.04127028438574365,0.2054375013662349,0.034247419964536015,0.20468935363914897
F1-B-45,F1,openai,0.10396162156686278,0.47214568119313427,0.1521858766656621,0.557484642067374
F1-B-47,F1,openai,0.19074786383965042,0.3524881209323543,0.1037853380250426,0.2236221996837486
F1-B-49T,F1,openai,0.004211938315826162,0.3917541376325524,0.0005274998937786698,0.14274068254545763
F1-B-53,F1,openai,0.07916635281342548,0.3667407493951726,0.06908710772237606,0.11447892333689252
F3-A-12T,F3,anthropic,0.07214422846691003,0.1499943402675494,0.061694879119281086,0.26527742339955246
F3-A-14,F3,anthropic,0.4812315942934128,0.7349347406278277,0.3043750135005018,0.7802493999218535
F3-A-16,F3,anthropic,0.8046888293164289,0.5064276592484495,0.023739261729178146,0.15211119989262045
F3-A-16T,F3,anthropic,0.7074078331348206,0.7930423267651634,0.4917788714413279,0.4552058637548536
F3-A-18,F3,anthropic,0.554963840591657,0.2816268742403319,0.01827260113350802,0.08877933771274997
F3-A-24T,F3,anthropic,0.023919070637649587,0.2448940397271811,0.003977370361762801,0.10949897744305612
F3-A-28,F3,anthropic,0.38601148316760975,0.8283774796128578,0.3582735439409497,0.5224580280480515
F3-A-28T,F3,anthropic,0.40153955425954785,0.2978295523646185,0.25575309419312087,0.20532093440898624
F3-A-38,F3,anthropic,0.731739338192401,0.6923045914873065,0.581169761244476,0.3166451358820256
F3-A-38T,F3,anthropic,0.0654840288100447,0.5012821576447123,0.10390540601333581,0.5247924981158878
F3-B-15T,F3,openai,0.16940615200876932,0.08610873669131941,0.3945797623397249,0.15710567944183085
F3-B-17T,F3,openai,0.03948169545337558,0.365573116908549,0.05624928516549851,0.24906864201091092
F3-B-21T,F3,openai,0.02523035350384898,0.31010746043151227,0.012605818115793213,0.376623337107331
F3-B-23,F3,openai,0.09947908523662508,0.25299070093906373,0.05517299404050103,0.04795920708325484
F3-B-27T,F3,openai,0.18821875905850907,0.386633559980656,0.058390233451165834,0.1501267385525353
F3-B-29T,F3,openai,0.49339787821566206,0.7250070575750509,0.22870176207356824,0.3867345275868078
F3-B-31,F3,openai,0.03657386064158597,0.20067094052426054,2.5009378306544203e-05,0.017965472652418785
F3-B-31T,F3,openai,0.3917214101550135,0.520815203108461,0.05430393400752437,0.2730498627900567
F3-B-35,F3,openai,0.6200012477016772,0.651085814985073,0.19263547624980365,0.6268111359237868
F3-B-35T,F3,openai,0.608532162426458,0.5535692781283905,0.01099808515645616,0.07630484424229725
F3-A-04,F3,anthropic,0.21900121890817872,0.2517335550599747,0.06589386025570351,0.2297882097521553
F3-A-04T,F3,anthropic,0.08503632190178023,0.3644046131336096,0.007869984069905547,0.037209637643614624
F3-B-03,F3,openai,0.0658741867297719,0.2842846046315212,0.01253912015927648,0.1678003692756201
F3-B-05,F3,openai,0.49035740840668884,0.48369862055747515,0.29170341581862,0.32779767164043455
F3-B-07,F3,openai,0.13789209768127847,0.6196543102707894,5.767539719718318e-05,0.18167224561660486
F3-B-09T,F3,openai,0.1363941906896227,0.5253958702265037,0.022488435790081897,0.1466698146328024
F3-A-42T,F3,anthropic,0.04007512405966389,0.41647927395308865,0.01248526450671851,0.14657917009931168
F3-A-44T,F3,anthropic,0.306970819543315,0.2902977987838573,0.487935184611128,0.41202023581044234
F3-A-48,F3,anthropic,0.5452208665756257,0.5403881308849334,0.5671950793770433,0.12310695973396849
