run,model,scenario_id,above_floor,above_floor_null,pD,pJ,g,pD_null,pJ_null,g_null,ind,ind_null
three_cell_union,instruct,F1-B-17,True,False,0.039022399330784635,0.1254709129581569,-0.08644851362737227,0.026036774329262505,0.1701626592032472,-0.1441258848739847,0,0
three_cell_union,instruct,F1-B-17T,True,True,0.569428346047663,0.3920090173528472,0.1774193286948158,0.11720398897866957,0.14420909468602366,-0.027005105707354093,1,0
three_cell_union,instruct,F1-B-19,False,False,0.048502250347798335,0.09033214489124694,-0.041829894543448605,0.013076945333372142,0.035581235889009785,-0.022504290555637643,0,0
three_cell_union,instruct,F1-B-19T,False,False,0.9384761708287942,0.853044402797607,0.08543176803118724,0.5540256110315938,0.48792748459682767,0.06609812643476609,0,0
three_cell_union,instruct,F1-B-21,True,True,0.11472678313693618,0.16852416289200398,-0.05379737975506779,0.09160890844596781,0.16412409073983664,-0.07251518229386883,0,0
three_cell_union,instruct,F1-B-21T,True,True,0.08945649456331994,0.17084162026978897,-0.08138512570646902,0.05079425700046444,0.08666743883644176,-0.03587318183597732,0,0
three_cell_union,instruct,F1-B-23,False,False,0.052296607213345905,0.12376227954085729,-0.07146567232751139,0.024704706365135887,0.1791840430173055,-0.15447933665216962,0,0
three_cell_union,instruct,F1-B-23T,False,True,0.2309516379190489,0.2039829967096489,0.026968641209400013,0.14610290073631452,0.19288260664735152,-0.046779705911037,0,0
three_cell_union,instruct,F1-B-25,True,True,0.42235372890539163,0.4396828758504415,-0.01732914694504989,0.404276590129262,0.4358050044153007,-0.0315284142860387,0,0
three_cell_union,instruct,F1-B-25T,False,False,0.019248805220494936,0.2111536591606819,-0.19190485394018697,0.008205946051128092,0.22314307591832905,-0.21493712986720095,0,0
three_cell_union,instruct,F1-B-27,False,True,0.006247164705654914,0.13186649566904796,-0.12561933096339303,0.009223591307559495,0.11236247721415443,-0.10313888590659494,0,0
three_cell_union,instruct,F1-B-27T,True,True,0.09805080454503567,0.06956672642328363,0.02848407812175205,0.08117208455125115,0.10964553638375218,-0.028473451832501037,0,0
three_cell_union,instruct,F1-B-29,True,True,0.293862417266068,0.18279111186173397,0.11107130540433402,0.007998055184603736,0.1177984863653237,-0.10980043118071996,0,0
three_cell_union,instruct,F1-B-29T,False,True,0.017580235345288832,0.12724079354534687,-0.10966055820005804,0.012726260936726748,0.1016298736857141,-0.08890361274898737,0,0
three_cell_union,instruct,F1-B-31,True,True,0.09134266404072212,0.12396124428271962,-0.0326185802419975,0.0787750850537502,0.1020640823014435,-0.023288997247693302,0,0
three_cell_union,instruct,F1-B-31T,True,True,0.6128067185260362,0.3367876874489135,0.27601903107712267,0.5685529572040747,0.3513127193109001,0.21724023789317465,1,1
three_cell_union,instruct,F1-B-33,False,True,0.4041712008158204,0.38697969275144506,0.01719150806437536,0.05244058529844156,0.24802219972805223,-0.19558161442961067,0,0
three_cell_union,instruct,F1-B-33T,True,False,0.30048989237100243,0.31391038032996615,-0.013420487958963723,0.020192585317109386,0.17713454809827467,-0.1569419627811653,0,0
three_cell_union,instruct,F1-B-35,False,False,0.9738718146672978,0.6475974266140776,0.3262743880532202,0.7085037987037879,0.7068884708611307,0.001615327842657166,0,0
three_cell_union,instruct,F1-B-35T,False,True,0.5890045150030357,0.42744310643663097,0.16156140856640477,0.3899203365662918,0.40205512192916937,-0.012134785362877543,0,0
three_cell_union,instruct,F1-B-37,True,True,0.016300554844655375,0.21409504306943422,-0.19779448822477885,0.016595443651827853,0.17483870997110512,-0.15824326631927726,0,0
